"
",name,jp,difficulty,time,skill,#timey,#8.4 diff,*ms: 9.5,*bottle: 2,*hookshot: 2.75,*gclw: 1,selfsynergy,childchu,chuczl,botwrupee,ganonchu,hovers,endon,childtrade,saria,czl,poachers,bothzl,lightarrow,claimcheck,magic,forest,meg,quiver,pg,gtunic,dmc,dmcchild,fire,fountain,jabu,ice,irons,lonlon,water,longshot,shadow,fortress,gtg,spirit,deku,bganon,aganon,cganon,dc,kd,childreset,beans,swords,child2,marketgs,froghp,map,compass,bosskey,bosskey2,bossdoor,songs4,songs5,songs10,hearts3,hearts4,skulls,silverrupee,goldrupee,strength,bottleslot,bulletbag,bombbag,bbprize,sticks,dins,firearrow,inctunic,incboot,incshield,incsword,incsongs,inchearts,incbeans,incmc,incbk,inclhskull,incirons,incmirror,inclong,incgorons,incwskull,inczoraskull,incgcard,incgtgkey,incctrade,incsaria,incfairy,incforest,incflare,incfirebk,incarrows,incshtrial,incgohma,incdodongo,incbarinade,incfboss,incvolvagia,incwboss,incshboss,incspboss,inclacs,incskulls,incsilvers,incgolds,incbkdoor,incranchskulls,legitlacs
,Get to the end of Spirit Trial,魂の結界の最後の部屋に到達,18,13.75,0.75,13,21,100,100,100,0,0,,,,,2.5,-0.5,,,,*0.25,,,,,,,1.5,,,,,,,,,,,,,,2.5,1.5,3.5,,,3,,,,,,,,,,*3,*1,*4.5,*5,,,*0.75,,*0.5,*0.5,*1,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Get to the end of Water Trial,水の結界の最後の部屋に到達,18,13.5,0.5,13,22,5,100,0.5,1,0,,,,,*0.25,-0.5,,,,*2.5,,8,,,,,,*2,*0.75,1,,7,,,,,,,,,,,,,,3,,,,,,,,,,*2,*4,*4.5,,,,*1.25,,*2.5,*1,*0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Giant's Knife,巨人のナイフ,1,1,,1,2,100,100,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,*-3,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Giant's Wallet,巨人のサイフ,5,3.75,0.25,3.5,7,6,100,2,0,-3,*-2.5,,*-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,*100,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Golden Gauntlets,金のグローブ,7,5.5,0.75,4.75,12,0,100,2.5,0,0,,,,,*1,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.75,3,2.75,,,,,,,,,,,*2.5,,,,,,,,*0.25,,,100,,,*100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,
,Goron Bracelet,ゴロンの腕輪,17,13,,13,20,0,0,0,0,0,0,2,,,,,2,4.75,3.75,,,,,,,,,,,,1,,,,,,,,,,,,,,,,*1.75,,,1.25,,,*2.5,*2,,,,,,,*3,,,*3,*1,*100,,,*100,,,*100,,,,,,,,,,,,,,,,,,,,,,,,*100,,,,,,,,,,,,,,,,,,,,,
,Goron Tunic,ゴロンの服,2,1.25,,1.25,2,100,0,0,1,0,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*0.5,,,,*0.25,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Green Gauntlets,緑のグローブ,20,15,,15,25,100,100,0,0,0,0,2,,,,,2,4.75,3.75,,,,,,,,,,,,1,,,,,,,,,,,,,,,,*1.75,,,1.25,,,,,,,,,,,*3,,,*3,*1,*0.5,,,100,,*100,*100,,,,,,,,,,,,,,,,,,,,,,,,*100,,,,,,,,,,,,,,,,,,,,,
,Ice Arrows,氷の矢,7,5,0.25,4.75,4,0,0,1,0,0,,,,,*0.75,,,,,,,,,,,,*4.5,,,,,,,,,,,,,,3,1,,,,,,,*2,,,,,,,*3,,*3.5,,,,,,*0.5,*0.25,*0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*100,,,,,,,,,,,,,,,,
,Ice Cavern HP,氷の洞窟のハートのかけら,5,3.5,,3.5,5,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,2,,1.5,,,,,,,,,,,,,,,,,,,,,*3,*3,,,,,,,*1.5,,*1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Iron Boots,ヘビーブーツ,6,4.75,0.25,4.5,8,2,0,0,1,0,,,,,*0.25,-0.5,,,,,,,,,,,,,,,,,2,,1.5,2,,,,,,,,,,,,,,,,,,,,*3,*3,,,,*1.5,,,*1,*0.25,*1,,,,,,,,,,,,100,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Keaton Mask,キータンのお面,10,7.75,,7.75,14,0,0,0,0,0,0,2,,,,,2,,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,*1.75,,,,,,,*2,,,,,,,*1.75,,,*3,*1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,
,Lens of Truth,まことのメガネ,1,0.25,,0.25,1,0,0,0,0,0,0,,,*-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Light Arrows,光の矢,14,10.5,,10.5,20,100,100,0.5,1,0,*-2.5,,*-1,,*0.25,-1,,,,3.5,,4.5,,,,,*4.5,,,,,,,,,,,,,,2,,,,,*1,,,,,,,,,,*3,,*3,*6,,,,,*1.5,*0.75,*0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*100,,,,,,,,,,100,,,,,,100
,Lon Lon Ranch HP,ロンロン牧場のハートのかけら,3,2.25,,2.25,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,*0.75,*0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Longshot,ロングフック,9,6.75,,6.75,13,7,100,100,0.5,0,*-2.5,,*-1,,*0.25,,,,,*0.75,,,,,,,,,,,,,,,,,,3,5,,,,,,,,,2,,,,,,,,*3.5,*3.5,,,,,,,,*1,*0.25,,,,,,,*-6,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Map & Compass in Bottom of the Well,井戸の底のマップとコンパス,1,1,,1,2,0,0,0,0,0,0,,,*-1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*1,*1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Map & Compass in Deku Tree,デクの樹様の中のマップとコンパス,5,3.75,0.25,3.5,2,0,0,0,0,0,,,,,*0.5,,,,*3,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,*3,*3,,,,,,,,*1,*0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Map & Compass in Dodongo's Cavern,ドドンゴの洞窟のマップとコンパス,3,2,,2,2,0,0,0,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,*1,*1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Map & Compass in Fire Temple,炎の神殿のマップとコンパス,12,8.75,,8.75,15,2.75,0.5,0.25,1,0,,,,,*0.25,,,,,,,,,,,,,,*0.75,1,,5,,,,,,,,,,,,,,,,,,,,,,,,*3,*4,*2,,,,*1.25,,*0.5,,*0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Map & Compass in Forest Temple,森の神殿のマップとコンパス,14,10.25,0.25,10,15,4,0.5,100,1,0,,,,,*1.25,,,,,,,,,,3,5,*4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*3,*4,*2,*6,,,*1.5,,,*1,*1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,
,Map & Compass in Ice Cavern,氷の洞窟のマップとコンパス,6,4.75,0.25,4.5,6,1.5,0.5,0,1,0,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,*3,*3,,,,,,,*1.5,,*1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Map & Compass in Jabu-Jabu,ジャブジャブ様のお腹のマップとコンパス,10,7.75,0.25,7.5,13,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,2,3.75,,,,,,,,,,,,,,,,,,,,,,*3,*4,,,,,,,*1,*1,*0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,
,Map & Compass in Shadow Temple,闇の神殿のマップとコンパス,6,4.75,,4.75,4,0.5,0,0.75,0,0,,,,,2.5,,,,,*0.25,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,*3,*3,,*3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Map & Compass in Spirit Temple,魂の神殿のマップとコンパス,21,15.75,0.75,15,23,2.5,100,100,1,-1,*-2.5,*2,*-1,,*1,,,,2.75,3.5,-3,,,,,,1.5,,,,,,,,,,,,,,3,1,5,,,*0.25,,,,,,,,,,*3,*4,*2,*4,,,*0.75,,*1,*0.25,*1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Map & Compass in Water Temple,水の神殿のマップとコンパス,8,6,0.5,5.5,8,1.5,0,0,0.5,0,,,,,,,,,,*0.75,,,,,,,,,,,,,,,,,,3,,,,1,,,,,,,,,,,,,,*3,*3,,,,,,,,*1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Megaton Hammer,メガトンハンマー,13,10,0.25,9.75,16,2.5,0.5,0.25,1,0,,,,,*0.25,,,,,,,,,,,,,,*0.75,1,,7,,,,,,,,,,,,,,,,,,,,,,,,*2,*4,*2,,,,*1.25,,*1.5,*1,*0.25,,,,,,,,,,,,,,,,,,,,,,,,*100,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Milk,ロンロン牛乳,6,4.5,,4.5,7,0,100,0,0,0,,,,,,,,,*2,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,*1,,,,,,,,,,,*0.5,,,,,*0.5,,,,*4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Minuet of Forest,森のメヌエット,2,1.75,,1.75,2,100,0,0,1,0,,,,,*0.25,,,,,,,*-1.5,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*1.5,,,*1.5,,,,*0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,
,Mirror Shield,ミラーシールド,13,10,0.75,9.25,11,2.25,0,100,0,0,,,,,2.5,,,,,*0.25,,,,,,,,,,,,,,,,,,,,,2.5,1.5,3.5,,,,,,,,,,,,,*3,*1,*3,*5,,,*0.75,,*0.5,*0.5,*0.75,,,,,,,,,,,,,100,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,
,Nayru's Love,ネールの愛,16,11.75,0.5,11.25,20,3.25,100,2.5,0,0,*-2.5,*2,*-1,,*0.25,-0.25,,,2.75,3.5,-3,,,1.75,,,,,,1,,,,,,,,,,,2.5,,2,,,*0.25,,,,,,,,,,*2,*2.5,*2,,,,,,*1,*0.25,*0.5,,,,*4,,,,,,,,,,,,,,,,,,,,,,,,,,,*100,,,,,,,,,,,,,,,,,,,,
,Obtain all 5 Small Keys in Forest Temple,森の神殿の小さな鍵の宝箱を5つ全て開ける,13,9.75,0.25,9.5,,4,0.5,100,1,0,,,,,*1.25,,,,,,,,,,3,5,*4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*3,*4,*2,*6,,,*1.5,,,*1,*1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,
,Obtain all 5 Small Keys in Shadow Temple,闇の神殿の小さな鍵５つ取得,19,14.25,0.25,14,,7.75,0,100,1,0,*-2.5,*2,*-1,,2.5,,,,2.75,3.5,-3,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,*1,*3.5,*6,*1.5,,,,*2,*1,*1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Obtain all 8 Small Keys in Fire Temple,炎の神殿の小さな鍵の宝箱を８つ全て開ける,13,10,0.25,9.75,,5,0.5,100,1,0,,,,,*0.25,,,,,,,,,,,,,,*0.75,1,,5,,,,,,,,,,,,,,,,,,,,,,,,*2,*4,*2,,,,*1.25,,*0.5,,*0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Plant bean in Death Mountain Crater,デスマウンテン火口の土にマメを植える,6,4.5,0.25,4.25,8,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,1.25,,,,,,,,,,,,,,,,,,,*1.25,*-1,,*2,,,,,,,,,,,*0.5,,*0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Quiver (40),矢立て(40),2,1.5,,1.5,3,100,100,0,0,0,*-2.5,,*-1,,,,,,,,,,,,,,*0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Quiver (50),矢立て(50),17,12.5,,12.5,22,100,100,0,0,0,*-2.5,,*-1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,3,1,0.5,,,,,,,,10,,,*4,,*2,,*2.5,,,,,,,*0.5,*0.25,,,,,,100,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,
,Requiem of Spirit,魂のレクイエム,10,7.25,0.5,6.75,10,0.5,0,1.5,0,0,,,,,*1,-0.25,,,,*-0.25,,,,,,,,,,,,,,,,,,,,,2.5,,2.5,,,,,,,,,,,,,*2,*1,*2,,,,*2.75,,,*0.25,*0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ruto's Letter,ルトの手紙,5,4,,4,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,*1.5,,,,,,,,,,,,,,,,,,,*3,,,,,,,,,,,,,*0.5,,,,*4.5,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Saria's Song,サリアの歌,14,10.5,,10.5,18,0,0,0,0,0,0,2,,,,,2,2.75,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,*1.75,,,1.25,,,*2.5,*2,,,,,,,*3,*-3,,*3,*1,*0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,
,Shadow Temple Boss Key,闇の神殿のボス部屋の鍵,11,8.5,0.25,8.25,17,2.25,100,1,1,0,*-2.5,*2,*-1,,1.5,,,,2.75,3.5,-3,,,,,,,,,,,,,,,,,,,6,,,,,,*0.25,,,,,,,,,,,*1,*4.25,*5.75,*1.5,,,,*2.5,,*0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Silver Gauntlets,銀のグローブ,13,9.75,0.75,9,13,1.5,0.5,100,0,0,,,,,2.5,-1,,,,*0.25,,,,,,,,,,,,,,,,,,,,,3,,3.25,,,,,,,,,,,,,*3,*1,*3,*4.5,,,*0.75,,*0.5,*0.25,*0.75,,,100,,,*100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Silver Scale,銀のウロコ,4,3,,3,5,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*100,,,*100,*4,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spirit Temple Boss Key,魂の神殿のボス部屋の鍵,15,11.5,,11.5,22,5.75,100,0,1,0,*-2.5,*2,*-1,,*0.25,,,,2.75,3.5,-3,5,,,,,,,,,,,,,,,,,,,3,,5,,,*1,,,,,,,,,,*4.5,*1,*6,*5.75,,,,,*1,*0.75,*0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,100
,Stone of Agony,もだえ石,7,5.5,1,4.5,12,4,0,100,1,0,,,,,*1,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,
,Two Fairy Spells,魔法のアイテム２つ,20,15.25,0.5,14.75,25,0,100,1,1,-0.5,*-2.5,*2,*-1,,*0.25,-0.25,2,,5.75,3.5,-3,,,1.75,,,,,*0.25,0.75,0.75,,2,,,,,,,,2.5,,2,,,*0.25,,,,,,,*5.5,,,*4,*4,*3,,,,,,*2.25,*0.5,*0.75,,,,*4,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,
,Water Medallion,水のメダル,9,6.5,,6.5,11,3,100,0.5,0,0,*-1,,,,*0.5,,,,,3.5,,,,,,,,,,,,,,,,,,6.5,,,2,,,,,,,,,,,,,,,*2.5,*2.5,,,,,,,*3,*1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,
,Water Temple Boss Key,水の神殿のボス部屋のカギ,7,5.5,0.25,5.25,5,0,100,1,0,0,,,,,*0.75,,,,,,,,,,,,,,,,,,,,,,,1,,,3,1,,,,,,,,,,,,,,*3,,*4.25,,,,,,*0.5,*0.25,*0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*100,,,,,,,,,,,,,,,,
,Win Bombchu Bowling Prize,ボムチュウボウリングの景品を何か1つ入手,9,6.75,0.5,6.25,13,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,3,3,,,,*3,,,*2,*2,,,,,,,*3,*1,*0.5,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,
,Zora Tunic,ゾーラの服,2,1.25,,1.25,2,100,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,*1.5,*1.5,,,,,,,*0.5,,*0.25,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New goals for v9.4?,Clear 4 Silver Rupee Rooms,銀ルピー部屋を4箇所攻略,6,4.25,0.25,4,,2,0,0,0,-3,,,,,,,,,,,,,,,,,,,,,,,2,,1.5,,,,,1,1,3,2,,-0.75,1,0.75,,,,,,,,,,*1,,,,,,,,,*1,4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,
Not in 9.3,Clear 8 Silver Rupee Rooms,銀ルピー部屋を8箇所攻略,19,14,1,13,,6,0,100,1,-3,,,0,*-0.5,2.5,,,,,,,,,,,,,,,,,,2,,1.5,,,,,5,1.5,3,2,,-1.75,2,1.75,,,,,,,,,*6,*4,*3,,,,*0.75,,*1,*0.25,*2.25,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,
,Clear 10 Silver Rupee Rooms,銀ルピー部屋を10箇所攻略,24,18,1,17,,8,0,100,1,-3,,,0,*-0.5,2.5,,,,,,,,,,,,,,,,,,2,,1.5,,,,,5,1.5,3,2,,-1.75,2,1.75,,,,,,,,,*9,*6.5,*5,,,,*0.75,,*1,*0.25,*3.5,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,
,Open 3 Gold Rupee Chests,金ルピーの宝箱を3つ開ける,4,3,,3,,2,0,0,1,0,,,0,*-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*0.5,,,,,,,,,*1,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,
,Open 5 Gold Rupee Chests,金ルピーの宝箱を5つ開ける,14,10.5,,10.5,,10,0,100,1,-2,,,0,*-0.5,*1,,,,,,,,,,,,,,,,,2,,,,,,,,,2.5,3,,,,,,,,,,,*1.25,,,*3,,*3,,,,*1,,,*0.25,*0.25,,15,*1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,
,Open All 6 Gold Rupee Chests,金ルピーの宝箱を6つ開ける,24,18.25,0.25,18,,100,0,100,1,-2,,,0,*-0.5,*1,,,,,,,,,,,,,,,1,,5,,,,,,,,,2.5,3,,,,,,,,,,,*1.25,,,*6,*2,*5,,,,*2.25,,*0.5,*1.25,*2,,15,*1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,
,2 Skulltulas in Lon Lon Ranch,ンロン牧場エリアの黄金のスタルチュラ2匹,3,2,,2,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,*0.25,*1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,
,Open 2 Boss Key Doors,スカギの扉を2つ開ける,11,8,,8,,5,0,100,1,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,-2.75,3,2.75,,,,,,,,,,,6.75,,5,,*1.25,,*2.25,*0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,
,Open 3 Boss Key Doors,ボスカギの扉を3つ開ける,19,14.5,0.25,14.25,,10,100,100,1,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,-2.75,3,2.75,,,,,,,,,,,12,,5,,*1.25,,*3.25,*1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,
,Both Rusty Switches in Spirit Temple,魂の神殿の錆びたスイッチ2つ,22,16.75,0.75,16,,5,0,100,1,-2,,,,,*1,,,,,*0.25,,8,,,,,,,*0.75,1,,7,,,,,,,,,2.5,,5,,,,,,,,,,,,,*4,*4,*4,,,,*2,,*1.5,*1.25,*1,,,,,,,,,,,,,,,,,,,,,,,,*100,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Desert Colossus HP,巨大邪神像のハートのかけら,12,8.75,0.75,8,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,3,,,,,,,,,,,,,*3,*1,*3,,,,*0.75,,*0.75,*0.5,*0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20 Different Skulltulas,スタルチュラのしるし20個(増殖禁止),11,8.5,0.5,8,10,3,1,100,1,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*0.5,,,*0.5,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,
,30 Different Skulltulas,スタルチュラのしるし30個(増殖禁止),22,16.5,1,15.5,,6,100,100,1,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*1.25,,,*1,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,
,Plant 5 Magic Beans,魔法の豆を5つ植える,9,6.75,0.5,6.25,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.25,4.75,,*1,,,,,,,,,,,,,*1,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,All 4 Child Skulltulas in Zora's Domain Area,子供時代のゾーラの里エリアの黄金のスタルチュラ4匹,9,6.5,,6.5,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,2,*0.5,,,,,,,,,,,,,,,,*1.25,,,,,*1,,,,,,,,,*0.25,,*2,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,
,All 4 Adult Skulltulas in Zora's Domain Area,大人時代のゾーラの里エリアの黄金のスタルチュラ4匹,5,4,,4,,100,0,100,1,0,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,*2,*2,,,,,,,*1,,*2,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,
,7 Different Bottled Contents,ビンに詰めたアイテム7種類,11,8,,8,,2,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,*1.5,2,,,,,,,,,,-2.75,3,2.75,,,,,,*3,,,*3,*3,,,,,,,*1,,*0.75,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Open 50 Rupee chest in Wasteland,幻影の砂漠の50ルピーの宝箱を開ける,8,6.25,0.25,6,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,1,,,,,,*2,*1.25,,,*2,,,*2,,*2,,,,,*-3.5,,,*0.5,,,,,,,,,3,*2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,New goal ideas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Open Forest Temple Boss Door,,14,10.5,0.25,10.25,,3,3,100,1,0,,,,,*1.25,,,,,,,*1,10,,4,4.25,*4.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,*2.5,*3.5,*4.25,*5.75,,,*1.5,,,*1,*1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,
,Big Goron's Sword,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Defeat ganondorf ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
